2026-07-07 21:32:56,133 | INFO | Pipeline=Silver | Tabela=alunos | Status=SUCESSO | Entrada=3867999 | Saída=3867999 | Colunas=15 | Tempo=0:00:11.091871
2026-07-07 21:32:56,377 | INFO | Pipeline=Silver | Tabela=municipio | Status=SUCESSO | Entrada=23995 | Saída=23995 | Colunas=18 | Tempo=0:00:00.240993
2026-07-07 21:32:56,402 | INFO | Pipeline=Silver | Tabela=uf | Status=SUCESSO | Entrada=145 | Saída=145 | Colunas=18 | Tempo=0:00:00.024200
2026-07-07 21:32:56,424 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_brasil | Status=SUCESSO | Entrada=3 | Saída=3 | Colunas=11 | Tempo=0:00:00.021097
2026-07-07 21:32:56,490 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_municipio | Status=SUCESSO | Entrada=10704 | Saída=10704 | Colunas=16 | Tempo=0:00:00.065038
2026-07-07 21:32:56,510 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_uf | Status=SUCESSO | Entrada=81 | Saída=81 | Colunas=15 | Tempo=0:00:00.018599
2026-07-07 21:42:13,237 | INFO | Pipeline=Silver | Tabela=alunos | Status=SUCESSO | Input=3867999 | Output=3867999 | Colunas=15 | Tempo=0:00:13.418935
2026-07-07 21:42:13,467 | INFO | Pipeline=Silver | Tabela=municipio | Status=SUCESSO | Input=23995 | Output=23995 | Colunas=18 | Tempo=0:00:00.225959
2026-07-07 21:42:13,493 | INFO | Pipeline=Silver | Tabela=uf | Status=SUCESSO | Input=145 | Output=145 | Colunas=18 | Tempo=0:00:00.025308
2026-07-07 21:42:13,511 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_brasil | Status=SUCESSO | Input=3 | Output=3 | Colunas=11 | Tempo=0:00:00.016647
2026-07-07 21:42:13,573 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_municipio | Status=SUCESSO | Input=10704 | Output=10704 | Colunas=16 | Tempo=0:00:00.061275
2026-07-07 21:42:13,593 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_uf | Status=SUCESSO | Input=81 | Output=81 | Colunas=15 | Tempo=0:00:00.019024
2026-07-07 21:43:38,814 | INFO | Pipeline=Silver | Tabela=alunos | Status=SUCESSO | Input=3867999 | Output=3867999 | Colunas=15 | Tempo=0:00:10.634485Bronze=67.59Silver=76.71
2026-07-07 21:43:39,020 | INFO | Pipeline=Silver | Tabela=municipio | Status=SUCESSO | Input=23995 | Output=23995 | Colunas=18 | Tempo=0:00:00.204387Bronze=0.47Silver=0.57
2026-07-07 21:43:39,052 | INFO | Pipeline=Silver | Tabela=uf | Status=SUCESSO | Input=145 | Output=145 | Colunas=18 | Tempo=0:00:00.030518Bronze=0.02Silver=0.02
2026-07-07 21:43:39,066 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_brasil | Status=SUCESSO | Input=3 | Output=3 | Colunas=11 | Tempo=0:00:00.013509Bronze=0.01Silver=0.01
2026-07-07 21:43:39,122 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_municipio | Status=SUCESSO | Input=10704 | Output=10704 | Colunas=16 | Tempo=0:00:00.054493Bronze=0.21Silver=0.28
2026-07-07 21:43:39,141 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_uf | Status=SUCESSO | Input=81 | Output=81 | Colunas=15 | Tempo=0:00:00.018791Bronze=0.01Silver=0.01
2026-07-07 22:04:55,404 | INFO | Pipeline=Silver | Tabela=alunos | Status=SUCESSO | Input=3867999 | Output=3867999 | Colunas=15 | Tempo=0:00:10.395919Bronze=67.59Silver=76.71
2026-07-07 22:04:55,645 | INFO | Pipeline=Silver | Tabela=municipio | Status=SUCESSO | Input=23995 | Output=23995 | Colunas=18 | Tempo=0:00:00.237926Bronze=0.47Silver=0.57
2026-07-07 22:04:55,671 | INFO | Pipeline=Silver | Tabela=uf | Status=SUCESSO | Input=145 | Output=145 | Colunas=18 | Tempo=0:00:00.024844Bronze=0.02Silver=0.02
2026-07-07 22:04:55,739 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_brasil | Status=SUCESSO | Input=3 | Output=3 | Colunas=11 | Tempo=0:00:00.050182Bronze=0.01Silver=0.01
2026-07-07 22:04:55,807 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_municipio | Status=SUCESSO | Input=10704 | Output=10704 | Colunas=16 | Tempo=0:00:00.066228Bronze=0.21Silver=0.28
2026-07-07 22:04:55,830 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_uf | Status=SUCESSO | Input=81 | Output=81 | Colunas=15 | Tempo=0:00:00.021897Bronze=0.01Silver=0.01
2026-07-07 22:11:38,742 | INFO | Pipeline=Silver | Tabela=alunos | Status=SUCESSO | Input=3867999 | Output=3867999 | Colunas=15 | Tempo=0:00:14.620686Bronze=67.59Silver=76.71
